FID,names,PA
0,52404680,0
1,48623348,0
2,34182178,0
3,52863656,0
4,43882828,0
5,44263288,0
6,46902810,0
7,36782680,0
8,44322920,0
9,44943870,0
10,34002136,0
11,35282092,0
12,43942996,1
13,47262412,1
14,44143298,0
15,50702998,0
16,51483800,0
17,33902114,0
18,51103486,0
19,50083478,0
20,42863582,0
21,49803394,0
22,33241858,0
23,43543126,0
24,45123304,1
25,53641966,0
26,48462300,0
27,51722996,1
28,51764704,0
29,44483636,0
30,45622768,0
31,51443008,0
32,31542332,1
33,46722576,0
34,38842666,0
35,44342190,0
36,49843504,0
37,47482810,0
38,49163486,0
39,41822414,0
40,34382156,1
41,38742668,0
42,34382102,0
43,29461660,1
44,46942572,1
45,35642110,0
46,34022174,0
47,50322994,0
48,30961768,0
49,51824728,0
50,28382160,0
51,40783218,0
52,29681740,0
53,29282088,0
54,31702250,0
55,36442800,0
56,48681954,0
57,34201972,1
58,37602280,0
59,30721702,0
60,43403554,0
61,27781794,0
62,37582662,0
63,42843682,0
64,45502846,1
65,33002172,0
66,54221900,0
67,39583216,0
68,49902614,0
69,31021866,0
70,30002386,0
71,27981972,0
72,29741732,0
73,32482188,0
74,40383202,1
75,28542144,0
76,48982838,0
77,52584292,0
78,32242312,0
79,52664748,0
80,51863086,0
81,36462652,0
82,42401958,1
83,31122376,0
84,47064096,0
85,42602746,0
86,54121890,0
87,53304626,0
88,33581994,0
89,29602142,0
90,29122112,0
91,41063212,0
92,53861912,1
93,41783356,0
94,30922176,0
95,26581768,0
96,32402254,0
97,41941786,0
98,57002188,0
99,50882638,1
100,33081892,0
101,34082784,0
102,32921902,0
103,48362026,1
104,31161848,0
105,42323042,0
106,49724396,1
107,31882258,0
108,29061990,0
109,31862260,0
110,38943176,0
111,34041890,0
112,34262824,0
113,31322314,1
114,45102976,0
115,38802318,0
116,31962246,0
117,32062178,0
118,51922944,0
119,43363356,0
120,44762764,0
121,49342622,0
122,32202322,0
123,30381762,0
124,46322834,0
125,32082174,0
126,30562338,1
127,34461998,0
128,52683688,0
129,51403810,0
130,46482614,0
131,43682854,0
132,41642978,0
133,28722216,0
134,53644594,0
135,33662020,0
136,43843470,1
137,37602280,0
138,29302338,1
139,32202298,0
140,27501780,0
141,40002866,0
142,43283052,1
143,43022764,0
144,31222178,0
145,47044134,0
146,44942974,0
147,52142764,0
148,43623698,0
149,42583038,1
150,51343172,0
151,50863206,0
152,51503186,0
153,40102842,0
154,34902366,0
155,30862182,0
156,28442408,0
157,41823036,0
158,53064642,0
159,37902328,1
160,50022946,0
161,49704436,0
162,43162914,0
163,43182820,0
164,33042156,0
165,45123664,0
166,42963748,0
167,50622776,0
168,40883024,0
169,42683042,1
170,43023370,0
171,42462906,0
172,28002400,0
173,31721688,1
174,31022194,0
175,43083770,0
176,47942860,0
177,33782062,0
178,40723226,0
179,42223056,0
180,31141756,0
181,50263838,0
182,32402336,1
183,33862010,0
184,46463950,0
185,32321698,0
186,43122714,0
187,32682930,0
188,32361730,0
189,44262618,0
190,46503324,0
191,50683780,0
192,51824508,0
193,51364282,0
194,52383540,1
195,33863294,0
196,47682402,0
197,31542242,0
198,33362096,0
199,43663228,0
200,38562344,0
201,40562500,0
202,47363330,0
203,46342786,0
204,53183886,0
205,49604542,0
206,49764590,0
207,53763890,0
208,36703150,0
209,47884132,0
210,37922340,1
211,36662704,0
212,49983054,0
213,27421740,0
214,37822294,0
215,37042680,0
216,41462518,0
217,52364022,0
218,38462556,0
219,46002792,0
220,35522294,0
221,41102514,0
222,47903032,0
223,49963164,0
224,38302418,0
225,35223718,0
226,35303690,0
227,32021944,0
228,35162590,0
229,44062504,0
230,51083476,0
231,52224014,0
232,51223738,0
233,43962560,0
234,41183292,0
235,47182946,0
236,52423612,0
237,41183328,0
238,50363736,0
239,36322504,0
240,52364076,0
241,48263042,1
242,30142056,0
243,41283342,0
244,48942888,1
245,53084148,0
246,37423086,0
247,50523678,0
248,49984648,0
249,32062352,0
250,48483018,1
251,50703742,0
252,47884100,0
253,50124366,0
254,52584068,0
255,40963282,0
256,32182122,0
257,38802318,0
258,50163796,0
259,46283924,0
260,30501774,0
261,52404058,0
262,51144548,0
263,46082678,0
264,51323464,0
265,53443794,0
266,53043800,0
267,46863958,0
268,30742170,0
269,47642728,1
270,50144226,0
271,51264552,0
272,50344366,0
273,38102416,1
274,38842482,0
275,35702100,1
276,37922448,0
277,42483322,0
278,34102020,0
279,38022398,0
280,42242404,0
281,28782280,0
282,52024360,0
283,35342068,0
284,34003734,0
285,36302512,0
286,31162316,1
287,51344234,0
288,51324422,0
289,51684292,0
290,50204184,0
291,33162080,1
292,52624148,0
293,52863814,0
294,45382568,0
295,49864226,0
296,52823760,0
297,51784294,0
298,48743134,0
299,30302240,0
300,31122070,1
301,46382836,0
302,42143270,0
303,28982458,0
304,51544350,0
305,30301704,0
306,31162082,1
307,38282398,0
308,28742296,0
309,41922438,0
310,34002034,0
311,46761582,0
312,37682420,1
313,39482532,0
314,52844586,0
315,51104260,0
316,41243258,0
317,47284000,0
318,33181812,0
319,44442424,0
320,52763758,0
321,33241828,1
322,46803982,0
323,27162028,1
324,33401850,0
325,56621496,0
326,49744242,0
327,32122142,0
328,41302368,0
329,41463292,0
330,43022698,0
331,34483786,0
332,43182690,0
333,37442866,0
334,39762280,0
335,31063480,0
336,42182510,1
337,30061684,1
338,46202106,0
339,29281840,1
340,51424242,0
341,46121612,0
342,41062870,0
343,45042534,0
344,29901692,0
345,47842050,0
346,42863320,0
347,52324108,0
348,41383284,0
349,39822308,0
350,30962066,0
351,52084354,0
352,33363162,0
353,39942574,1
354,34543662,0
355,31123392,0
356,34602380,0
357,37242276,0
358,51244342,0
359,35002236,1
360,44662142,0
361,32682270,0
362,53504414,0
363,34383700,0
364,34161996,1
365,30462170,0
366,27181846,0
367,47361656,1
368,39882450,0
369,32042062,0
370,44522550,0
371,27461892,0
372,48664836,0
373,47602574,0
374,29582266,0
375,52624364,0
376,29462254,0
377,32142066,0
378,47443998,0
379,52263450,0
380,53744506,0
381,32342056,0
382,43742350,0
383,32202034,0
384,45662242,0
385,27481894,0
386,54401670,1
387,29422254,0
388,40262632,0
389,34702666,0
390,48282902,0
391,33762252,0
392,31602148,0
393,45762134,0
394,48002880,0
395,48482928,0
396,41902558,1
397,46861592,0
398,41342812,0
399,46383708,0
400,54581630,0
401,30662118,0
402,32682126,0
403,37362918,0
404,34862944,0
405,38343016,0
