LUCAS_ID,LC_5,nonPA.1,nonPA.2,nonPA.3,nonPA.4,nonPA.5,mahal.min.1,mahal.min.2,mahal.min.3,mahal.min.4,mahal.min.5,nonPA
28302282,Other,28782280,29462254,29582266,28442408,32202322,7.340829915,8.132289731,9.332759627,10.51796636,13.37323371,1
37902328,Other,28782280,29462254,32202322,29582266,48462300,1.598381865,2.090901456,2.237853508,2.415559748,4.600088241,2
37922340,Other,28782280,32202322,29462254,29582266,48462300,1.762904983,1.803063488,1.965947913,2.164823932,4.487033594,2
29542352,Other,29582266,29462254,28782280,32202322,30122298,1.851426941,1.874067814,3.35017466,3.823202237,5.665944676,1
31162316,Other,29582266,29462254,32202322,30122298,28782280,1.625522618,1.982476353,2.147705144,3.197561139,3.610576906,1
31222070,Forest,31141720,30182092,33581994,33401850,32122142,1.027684304,1.750448545,2.587997188,2.736480639,3.020765999,1
31722110,Forest,31141720,30182092,32122142,33401850,33581994,0.335242184,0.866417195,1.003954173,1.024269118,1.230467202,2
32201782,Forest,31141720,33401850,32122142,30182092,33581994,0.533702714,2.048761966,2.289678516,2.417964843,2.454061057,2
32522074,Forest,31141720,30182092,33401850,32122142,33581994,0.499196492,0.597305536,0.749901616,0.946103827,1.08055804,5
33062044,Forest,31141720,32122142,33401850,33581994,30182092,0.205036533,0.712379193,0.755340907,1.174337257,1.607719036,2
34161996,Other,34102020,34002034,33342038,32182122,33462052,0.554771295,1.125369385,1.421742299,1.488508556,2.916320007,2
34201972,Other,34102020,34002034,33342038,32182122,33462052,0.414752023,1.080213182,1.395341156,1.525452954,2.643034902,1
34882068,Agriculture,35342068,35642110,34982150,35182124,35882060,0.14768848,0.157869636,0.253328322,0.273171007,0.343334217,2
35702100,Agriculture,35342068,34982150,34022174,34562164,35642110,0.10493853,0.162733787,0.210353312,0.252883523,0.285917425,1
28282190,Grassland,37222482,28722216,31122376,37022386,28602222,1.210503727,1.972892667,2.044006907,2.180064784,2.578144982,1
42683042,Grassland,37222482,43022764,44322920,45622768,44762764,1.122754402,1.144999218,1.185131017,1.210824952,1.383786896,2
39082708,Agriculture,37242618,42462906,43162914,40322908,42602746,0.120057557,0.767122741,0.889069643,1.135485829,1.254977474,1
39122716,Agriculture,37242618,43162914,42462906,40322908,42602746,0.149678514,0.796582991,0.836896585,1.169601551,1.177179517,2
29461660,Grassland,37922448,32242312,37022386,28722216,28602222,3.572806549,3.879251115,4.254467995,4.432972915,4.678647491,2
30562338,Grassland,37922448,38842482,39962440,32082174,28722216,1.884581777,2.104387221,2.258435213,2.935370249,3.14747832,2
31322314,Grassland,37922448,38842482,28722216,32082174,34461998,1.323697364,2.145046884,2.547850451,2.572061758,2.713722051,1
39942574,Forest,40262632,40482646,43062380,40962778,43022698,0.304495685,0.639995103,1.85556556,2.182121811,4.021763036,2
40262620,Forest,40262632,40962778,40482646,43062380,38282398,0.406210492,2.335874138,2.404670611,5.792237187,7.332995992,1
48941830,Forest,52601984,54642202,55402180,43962560,55462186,1.100538651,1.151704944,2.657289623,4.183049351,4.589414755,3
52561940,Forest,52601984,54642202,55402180,44522550,47942370,0.414342732,0.932419568,2.807988762,4.778970638,4.9744718,1
54401670,Forest,52601984,54642202,53702216,54922222,55402180,1.2907567,1.442221498,3.766336354,4.059471073,4.19483891,2
54382628,Grassland,54462696,54902668,54762692,55202844,52882778,0.184876713,0.196306581,0.24735899,0.393870288,0.490233822,2
54382676,Grassland,54462696,54762692,54902668,55382862,52882778,0.057185959,0.108333778,0.199461376,0.33344218,0.386905634,1
48362026,Other,54841800,54581630,48462300,41722878,37602280,1.32824917,1.53998596,1.614540867,2.759721543,2.766814257,2
54101838,Other,54841800,54581630,54082440,37602280,37602280,0.13545176,1.469198402,3.592515342,4.178786441,4.178786441,1
