"Country","LC","n"
"AT","Woodland",1001
"BG","Cropland",2002
"BG","Grassland",1049
"BG","Woodland",1001
"CZ","Cropland",1001
"CZ","Grassland",1001
"CZ","Woodland",3003
"DE","Cropland",1001
"DE","Grassland",5413
"DE","Other",1964
"DE","Woodland",1001
"EL","Cropland",1001
"EL","Other",1916
"EL","Woodland",3003
"ES","Cropland",7007
"ES","Grassland",12163
"ES","Other",4061
"ES","Woodland",10010
"FI","Woodland",1001
"FR","Cropland",5005
"FR","Grassland",2002
"FR","Other",4247
"FR","Woodland",4004
"HR","Woodland",1001
"HU","Grassland",1001
"IT","Grassland",3003
"IT","Other",1001
"IT","Woodland",2002
"LT","Grassland",1001
"LV","Woodland",1001
"NL","Grassland",1001
"PL","Cropland",1001
"PL","Grassland",1001
"PL","Woodland",1001
"PT","Cropland",1001
"PT","Grassland",1001
"PT","Woodland",2002
"RO","Cropland",1001
"RO","Grassland",4004
"RO","Woodland",2002
"SI","Grassland",1001
"SK","Grassland",1025
