"LUCAS_ID","CONTAINER_ID","X_LAEA","Y_LAEA","Elevation","AnnualPrecip","AnnualTemp","LC_Survey_Code","Country","LC_1","LC_2","LC_3","LC_4","CLC_2018","CLC_2012","CLC_2006","CLC_2000","CLC_1990","CLC.firstChange","CLC.lastChange","num.CLC.changes","time.since.CLC.change","MWD","WSA","Xylosidase","Cellulase","N.actylglucosaminidase","beta.glucosidase","Acid.phosphatase","O2_Measurement_ID","O2_Channel","O2_Device","Basal_respiration","MIRR","Cmic","qO2","H2O_percent_FW","glucose_per_sample_SIR","water_added_SIR","date_O2_Measurement","date_of_sampling","remarks","machine_factor","coarse_2009","clay_2009","silt_2009","sand_2009","pHinH2O_2009","pHinCaCl2_2009","OC_2009","CaCO3_2009","N_2009","P_2009","K_2009","CEC_2009","Repeated","coarse_2015","clay_2015","sand_2015","silt_2015","pHinCaCl2_2015","pHinH2O_2015","Electrical_conductivity_2015","OC_2015","CaCO3_2015","P_2015","N_2015","K_2015","CEC_2015","NUTS0","NUTS1","NUTS2","NUTS3","MonthlyPrecipSum","MonthlyMeanTemp","dates","MeanNDVI90days","MeanNDVI3years","Sum_burned_areas_1year","LC_5","clay_2009_shapefile","silt_2009_shapefile","sand_2009_shapefile","pHinH2O_2009_shapefile","pHinCaCl2_2009_shapefile","OC_2009_shapefile","clay_yearCombine","silt_yearCombine","sand_yearCombine","pHinH2O_yearCombine","pHinCaCl2_yearCombine","year_of_yearCombine"
26581768,96,2658000,1768000,82,684,172,"E20","PORTUGAL","Grassland without tree/shrub cover","Grassland without tree/shrub cover","Grassland","Grassland",242,242,242,242,"242",1990,1990,0,28,1.74936184210526,91.304347826087,80.25,129.31,264.35,771.64,478.72,9293,"Channel 16","EMIL",0.840202458,36.5087973,971.1340082,0.000865177,7.907441318,0.0216,1,"4/10/19","n/a","n/a",1,14,25,29,46,7.4,6.96,"56.9","56",5.2,"119.8",884,25.4,"Yes",NA,NA,NA,NA,6.9,7.24,18.14,24.6,34,24.3,2.9,245.6,17.4,"PT","PT1","PT15","PT150",13.90000021,17.35466628,"2018-05-30",0.565333333333333,0.467115384615385,0,"Grassland",25,29,46,7.4,6.96,"56.9",25,29,46,7.4,6.96,2009
26942016,596,2694000,2016000,141,809,159,"C10","PORTUGAL","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",324,313,313,311,"324",2000,2018,3,0,1.21187033582089,37.1428571428571,64.57,23.83,275.96,361.26,956.5,8918,"Channel 1","EMIL",0.910992969,3.368776082,89.60944378,0.010166261,3.699421965,21.6,1,"7/8/19","n/a","n/a",1,15,13,17,69,4.71,3.96,"10.1","2",0.8,"0",36.1,6.2,"Yes",NA,NA,NA,NA,4.2,4.85,5.41,15.3,0,5,1.1,37.3,3.4,"PT","PT1","PT16","PT16B",0,22.24633284,"2018-08-17",0.8635,0.807461538461539,0,"Forest",13,17,69,4.71,3.96,"10.1",13,17,69,4.71,3.96,2009
27101814,437,2710000,1814000,178,671,167,"C10","PORTUGAL","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",244,244,244,244,"311",2000,2000,1,18,1.36433910891089,38.7096774193548,88.7,74.42,305.58,596.78,476.9,5358,"Channel 18","EMIL",0,16.71361502,444.5821596,0,1.388888889,21.6,1.5,"5/8/19","n/a","n/a",1,12,20,50,30,6.27,5.52,"21.9","1",1.7,"0",80.4,8.2,"Yes",NA,NA,NA,NA,5.2,5.74,4.14,12.8,0,5.3,1.7,99.9,2.6,"PT","PT1","PT18","PT184",11.40000017,21.33499952,"2018-07-24",0.427428571428571,0.450019417475728,0,"Forest",20,50,30,6.27,5.52,"21.9",20,50,30,6.27,5.52,2009
27162028,324,2716000,2028000,305,778,149,"B81","PORTUGAL","Olive groves","Other permanent crops","Cropland","Agriculture",223,223,223,223,"223",1990,1990,0,28,2.18009797297297,96.7741935483871,131.68,41.36,189.45,547.52,313.99,8694,"Channel 17","EMIL",0.672559853,25.5267035,679.0103131,0.0009905,9.830621056,21.6,0.75,"5/15/19","n/a","n/a",1,34,33,54,14,7.74,7.25,"32.4","291",2.8,"0",466.6,29,"Yes",NA,NA,NA,NA,7.2,7.56,17.74,27.9,357,7.3,3.1,393.7,24.4,"PT","PT1","PT16","PT16F",66.00000098,15.82499965,"2018-06-20",0.656571428571429,0.547883495145631,0,"Agriculture",33,54,14,7.74,7.25,"32.4",33,54,14,7.74,7.25,2009
27181846,367,2718000,1846000,65,568,174,"B81","PORTUGAL","Olive groves","Other permanent crops","Cropland","Agriculture",223,223,211,211,"211",2012,2012,1,6,0.651722554890221,44,20.31,15.25,64.82,284.79,191.21,8691,"Channel 14","EMIL",0.666723637,4.302968154,114.4589529,0.005825002,2.920192467,21.6,1,"5/15/19","n/a","n/a",1,17,7,17,76,4.83,4.2,"4.6","0",0.5,"0",51.9,4.9,"Yes",NA,NA,NA,NA,5.3,5.72,5.35,5.9,0,13,0.7,80.1,1.9,"PT","PT1","PT18","PT181",20.70000031,21.06633286,"2018-07-03",0.580888888888889,0.555185185185185,0,"Agriculture",7,17,76,4.83,4.2,"4.6",7,17,76,4.83,4.2,2009
27361846,510,2736000,1846000,168,630,169,"B81","PORTUGAL","Olive groves","Other permanent crops","Cropland","Agriculture",223,223,211,211,"211",2012,2012,1,6,2.21368108108108,36.3636363636364,33.48,20.07,40.34,487.85,222.46,5327,"Channel 17","DIETER",0,15.39778808,409.581163,0,7.077739102,21.6,1,"5/6/19","n/a","n/a",1,46,49,28,23,7.63,7.17,"9.3","8",1.1,"22.4",242.7,45,"Yes",NA,NA,NA,NA,7.2,7.63,14.47,9.6,42,19.5,0.9,269.1,45.3,"PT","PT1","PT18","PT184",11.50000017,22.1849995,"2018-07-25",0.5135,0.473961538461538,0,"Agriculture",49,28,23,7.63,7.17,"9.3",49,28,23,7.63,7.17,2009
27421740,214,2742000,1740000,48,581,180,"C10","PORTUGAL","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",241,241,241,241,"241",1990,1990,0,28,1.93150662251655,82.7586206896552,53.72,17.63,79.06,269.17,154.72,8743,"Channel 6","EMIL",0.209006073,12.29447489,327.0330321,0.000639098,3.91403359,21.6,1.5,"5/27/19","n/a","n/a",1,13,33,39,28,7.82,7.28,"22.9","261",1.9,"0",288.3,18.7,"Yes",NA,NA,NA,NA,7.6,7.96,14.74,18,363,4.4,1.5,237.9,12.9,"PT","PT1","PT15","PT150",17.20000026,18.20699959,"2018-06-06",0.5465,0.5235,0,"Forest",33,39,28,7.82,7.28,"22.9",33,39,28,7.82,7.28,2009
27461892,372,2746000,1892000,188,628,167,"C10","PORTUGAL","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",244,244,244,244,"244",1990,1990,0,28,1.21940155440414,44.4444444444444,58.59,28.19,132.83,393.56,408.33,8700,"Channel 23","EMIL",0.471997243,6.245620082,166.1334942,0.002841072,4.493087558,21.6,1,"5/15/19","n/a","n/a",1,8,10,19,71,6.05,5.3,"22.7","1",1.7,"11.4",67.6,13.7,"Yes",NA,NA,NA,NA,5,5.71,4.66,9.7,0,0,1,60.9,10.5,"PT","PT1","PT18","PT187",27.20000041,20.8416662,"2018-07-04",0.625142857142857,0.534941176470588,0,"Forest",10,19,71,6.05,5.3,"22.7",10,19,71,6.05,5.3,2009
27481894,386,2748000,1894000,183,606,167,"C10","PORTUGAL","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",244,244,244,244,"244",1990,1990,0,28,1.49485824742268,58.3333333333333,58.38,39.51,188.75,457.09,454.84,5343,"Channel 3","EMIL",0.878078391,16.55393687,440.3347208,0.001994116,3.916013998,21.6,1,"5/8/19","n/a","n/a",1,19,9,22,69,5.94,5.15,"33.2","1",3.2,"16.1",172.2,6.7,"Yes",NA,NA,NA,NA,4.6,5.19,4.66,20.2,0,11.7,2,72.5,7,"PT","PT1","PT18","PT187",27.80000041,20.93499953,"2018-07-04",0.699428571428572,0.571390476190476,0,"Forest",9,22,69,5.94,5.15,"33.2",9,22,69,5.94,5.15,2009
27501780,141,2750000,1780000,230,578,168,"D10","PORTUGAL","Shrubland with sparse tree cover","Shrubland with sparse tree cover","Shrubland","Shrubland",324,324,324,243,"243",2006,2006,1,12,1.02746593406593,28.125,57.89,43.85,325.69,455.75,341.68,8800,"Channel 3","EMIL",0.401233539,9.684947491,257.6196033,0.001557465,0.74454004,21.6,1.25,"6/11/19","n/a","n/a",1,17,6,30,63,6.01,5.36,"7.9","0",1,"0",61.6,6.9,"Yes",NA,NA,NA,NA,5.7,6.06,3.1,5.9,0,4.4,0.9,66.6,2.8,"PT","PT1","PT15","PT150",20.4000003,16.86066629,"2018-05-22",0.548571428571429,0.458603773584906,0,"Other",6,30,63,6.01,5.36,"7.9",6,30,63,6.01,5.36,2009
