BARCODE_ID,date1,MonthlyMeanTemp,MonthlyPrecipSum,AnnualTemp,AnnualPrecip,Elevation,LUCAS_ID,SOIL_ID,Country,TH_LAT,TH_LONG,LC1_2018,LC_simpl_2018,LU1_2018,LC1_2015,LC_simpl_2015,LU1_2015,Soil_data_survey,Depth,Coarse_fragments,Clay_content,Sand_content,Silt_content,pH_CaCl2,pH_H2O,Electrical_conductivity,Organic_carbon,Carbonate_content,Phosphorus_content,Total_nitrogen_content,Extractable_potassium_content,Bulk_Density_0_10_cm,Bulk_Density_10_20_cm,Bulk_Density_20_30_cm,Ongoing_Number,Channel,Device,Basal_respiration,MIRR,Cmic,qO2,H2O_FW,glucose_per_sample,water_added,date_of_measurement,date_of_sampling,remarks,machine_factor,Xylosidase,Cellulase,N.actylglucosaminidase,beta.glucosidase,Acid.phosphatase,MWD,WSA,LC_5
1,5/29/2018,11.49733308,24.10000036,2.1,591,162,52404680,20868,FI,64.09108109,29.01028644,C32,Woodland,U120,C32,Woodland,U120,2018,0-20,5,1,84,15,3.4,4.16,10.96,346.5,0,44,10.4,193.5,0.428890963,0.560227184,NA,6876,Channel 7,KLAUS,17.40193237,56.93719807,1514.529469,0.011489993,85.24379812,0.0504,0.5,3/26/2019,n/a,n/a,1,874.83,182.61,2274.87,1932.23,7070.45,1.526853448,50,Woodland
2,6/1/2018,17.35666628,30.10000045,8.5,497,69,48623348,41656,PL,52.96967381,18.07127446,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,0,0,0,0,6.5,6.87,118.7,401.3,0,16.6,29.6,65.9,NA,NA,NA,6898,Channel 29,KLAUS,5.794661191,26.92813142,716.2882957,0.008089845,59.69877524,0.0216,1,3/26/2019,n/a,n/a,1,54.06,47.52,178.9,571.12,1104.37,1.572953271,93.93939394,Grassland
3,6/4/2018,17.14766628,85.80000128,13.8,519,461,34182178,51216,ES,42.11604157,-0.923690087,F40,Bareland,U112,E30,Grassland,U112,2018,0-20,5,18,17,65,7.6,8.24,24.8,7.6,379,5.3,1.2,140.4,1.399651615,1.593134052,NA,8458,Channel 21,EMIL,1.043138587,7.941009964,211.230865,0.004938381,16.37551484,0.0252,0.5,3/26/2019,n/a,n/a,1,23.91,24.72,38.67,255.61,47.4,1.998455796,10.25641026,Other
4,6/27/2018,17.22166628,34.40000051,6.6,672,138,52863656,56328,LT,55.0865231,25.23750033,C22,Woodland,U120,C22,Woodland,U120,2018,0-20,8,4,86,9,5.9,6.66,5.31,9.9,0,54.5,0.9,62.4,1.178028982,1.275829917,NA,7150,Channel 11,KLAUS,0.464011181,4.350104822,115.7127883,0.004010025,4.695304695,21.6,1.25,5/22/2019,n/a,n/a,1,16.92,18.38,63.85,186.97,170.18,0.542947761,46.66666667,Woodland
5,6/4/2018,16.73733296,92.90000138,9.3,739,425,43882828,27451,DE,48.56170253,10.90739236,B13,Cropland,U111,B11,Cropland,U111,2018,0-20,9,21,47,32,7.2,7.52,27.5,54.7,62,51.8,4.8,169.8,1.269408809,1.190284446,NA,9294,Channel 17,EMIL,1.834943121,15.61780067,415.4334979,0.004416936,22.47920133,0.0216,0.75,4/10/2019,n/a,n/a,1,46.94,71.04,108.61,465.33,342.49,1.855722615,73.52941176,Cropland
6,6/1/2018,17.72966627,14.50000022,9.5,549,37,44263288,27504,DE,52.69090571,11.55298175,B11,Cropland,U111,B11,Cropland,U111,2018,0-10,4,11,70,20,5.9,6.34,16.51,9.2,0,20,1.1,168.9,NA,NA,NA,9306,Channel 29,EMIL,0.440506763,7.673343606,204.1109399,0.002158173,3.278688525,0.0216,0.5,4/10/2019,n/a,n/a,1,25.28,34.36,59.24,195.78,241.62,1.428455607,60,Cropland
7,5/29/2018,16.06299964,66.40000099,7.9,953,626,46902810,11465,AT,48.29155823,14.97484889,B18,Cropland,U111,B55,Cropland,U111,2018,0-20,30,16,46,38,6.2,6.64,13.93,19.2,0,34.3,2.1,78.2,1.198558771,1.257248196,NA,8577,Channel 20,EMIL,0.837757009,13.0317757,346.6452336,0.002416756,11.01131071,0.0216,0.75,4/24/2019,n/a,n/a,1,55.47,67.14,127.44,500.98,573.33,1.627422006,85.29411765,Cropland
8,6/4/2018,16.64333296,41.60000062,11.9,747,153,36782680,24199,FR,46.9032412,1.547535128,B32,Cropland,U111,B32,Cropland,U111,2015,0-20,13,38,21,42,7.3,7.59,12.55,22.5,8,26.7,2.5,239.7,NA,NA,NA,8684,Channel 7,EMIL,0.479595522,14.33790779,381.3883472,0.001257499,8.128732581,21.6,0.75,5/15/2019,n/a,n/a,1,32.25,39.73,68.45,368.4,324.29,1.822806579,79.41176471,Cropland
9,6/4/2018,16.59599963,49.40000074,7.7,999,580,44322920,27927,DE,49.38254761,11.52852354,E20,Grassland,U111,E20,Grassland,U111,2018,0-10,26,25,40,36,6.7,6.95,20.5,32.6,20,36.3,2.8,196.8,1.231183614,NA,NA,6954,Channel 25,KLAUS,1.137840376,29.09546166,773.9392801,0.001470193,11.61825726,0.0216,0.5,4/10/2019,n/a,n/a,1,77.54,120.84,200.97,637.91,696.45,2.0049941,78.78787879,Grassland
10,6/4/2018,17.63399961,9.800000146,6.5,878,176,44943870,61488,SE,57.89996981,12.91423596,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,7,7,68,26,4.9,5.5,7.31,27.2,0,51.9,2.4,30.2,NA,NA,NA,6936,Channel 7,KLAUS,0.573427812,5.930321819,157.7465604,0.003635121,5.995004163,0.0216,0.75,4/10/2019,n/a,n/a,1,84.08,46.51,72.17,311.9,516.35,0.911056893,50,Grassland
