OBJECTID,LUCAS_ID,X_LAEA,Y_LAEA,PA,PA_100,PA_checked
1,54662028,5466000,2028000,1,1,1
2,53861912,5386000,1912000,1,1,1
3,54401670,5440000,1670000,1,1,1
4,52383540,5238000,3540000,1,1,1
5,51722996,5172000,2996000,1,1,1
6,51363400,5136000,3400000,1,1,1
7,47642728,4764000,2728000,1,1,1
8,48263042,4826000,3042000,1,1,1
9,48483018,4848000,3018000,1,1,1
10,48442898,4844000,2898000,1,1,1
11,49724396,4972000,4396000,1,1,1
12,48362026,4836000,2026000,1,1,1
13,48941830,4894000,1830000,1,1,1
14,50882638,5088000,2638000,1,1,1
15,47361656,4736000,1656000,1,1,1
16,48942888,4894000,2888000,1,1,1
17,47262412,4726000,2412000,1,1,1
18,46942572,4694000,2572000,1,1,1
19,43843470,4384000,3470000,1,1,1
20,43283052,4328000,3052000,1,1,1
21,45123304,4512000,3304000,1,1,1
22,42683042,4268000,3042000,1,1,1
23,42583038,4258000,3038000,1,1,1
24,43942996,4394000,2996000,1,1,1
25,45502846,4550000,2846000,1,1,1
26,39942574,3994000,2574000,1,1,1
27,41902558,4190000,2558000,1,1,1
28,42182510,4218000,2510000,1,1,1
29,40383202,4038000,3202000,1,1,1
30,42401958,4240000,1958000,1,1,1
31,32402336,3240000,2336000,1,1,1
32,35002236,3500000,2236000,1,1,1
33,34662184,3466000,2184000,1,1,1
34,34382156,3438000,2156000,1,1,1
35,34201972,3420000,1972000,1,1,1
36,34161996,3416000,1996000,1,1,1
37,33162080,3316000,2080000,1,1,1
38,34242272,3424000,2272000,1,1,1
39,33502280,3350000,2280000,1,1,1
40,31721688,3172000,1688000,1,1,1
41,35702100,3570000,2100000,1,1,1
42,33241828,3324000,1828000,1,1,1
43,38102416,3810000,2416000,1,1,1
44,37922340,3792000,2340000,1,1,1
45,37902328,3790000,2328000,1,1,1
46,37682420,3768000,2420000,1,1,1
47,38982814,3898000,2814000,1,1,1
48,29302338,2930000,2338000,1,1,1
49,30562338,3056000,2338000,1,1,1
50,31542332,3154000,2332000,1,1,1
51,30061684,3006000,1684000,1,1,1
52,29461660,2946000,1660000,1,1,1
53,29281840,2928000,1840000,1,1,1
54,31322314,3132000,2314000,1,1,1
55,31122070,3112000,2070000,1,1,1
56,31162082,3116000,2082000,1,1,1
57,31162316,3116000,2316000,1,1,1
58,30922224,3092000,2224000,1,1,1
59,28522106,2852000,2106000,1,1,1
60,27162028,2716000,2028000,1,1,1
61,52042676,5204000,2676000,1,1,1
62,53842676,5384000,2676000,1,1,1
63,57122348,5712000,2348000,1,1,1
64,55282384,5528000,2384000,1,1,1
65,54202132,5420000,2132000,1,1,1
66,55362256,5536000,2256000,1,1,1
67,54382628,5438000,2628000,1,1,1
68,54382676,5438000,2676000,1,1,1
69,54482686,5448000,2686000,1,1,1
70,54982632,5498000,2632000,1,1,1
71,55782690,5578000,2690000,1,1,1
72,55622854,5562000,2854000,1,1,1
73,52561940,5256000,1940000,1,1,1
74,56702146,5670000,2146000,1,1,1
75,54101838,5410000,1838000,1,1,1
76,53323834,5332000,3834000,1,1,1
77,46903344,4690000,3344000,1,1,1
78,46282880,4628000,2880000,1,1,1
79,46163088,4616000,3088000,1,1,1
80,42763084,4276000,3084000,1,1,1
81,40022438,4002000,2438000,1,1,1
82,40262620,4026000,2620000,1,1,1
83,34882068,3488000,2068000,1,1,1
84,29542352,2954000,2352000,1,1,1
85,32201782,3220000,1782000,1,1,1
86,35402092,3540000,2092000,1,1,1
87,31722110,3172000,2110000,1,1,1
88,33062044,3306000,2044000,1,1,1
89,32522074,3252000,2074000,1,1,1
90,32281848,3228000,1848000,1,1,1
91,37802362,3780000,2362000,1,1,1
92,39162670,3916000,2670000,1,1,1
93,39122716,3912000,2716000,1,1,1
94,39082708,3908000,2708000,1,1,1
95,37342800,3734000,2800000,1,1,1
96,36722782,3672000,2782000,1,1,1
97,31783686,3178000,3686000,1,1,1
98,28302282,2830000,2282000,1,1,1
99,31441666,3144000,1666000,1,1,1
100,31222070,3122000,2070000,1,1,1
101,30902056,3090000,2056000,1,1,1
102,28282190,2828000,2190000,1,1,1
103,28542018,2854000,2018000,1,1,1
