LUCAS_ID,FID,CONTAINER_,Country,X_LAEA,Y_LAEA,Year,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW
27162028,60,324,PORTUGAL,2716000,2028000,2018,Olive groves,Other permanent crops,Cropland,Agriculture,0.672559853,25.5267035,679.0103131,0.0009905,9.830621056
27501780,26,141,PORTUGAL,2750000,1780000,2018,Shrubland with sparse tree cover,Shrubland with sparse tree cover,Shrubland,Other,0.401233539,9.684947491,257.6196033,0.001557465,0.74454004
28282190,98,524,PORTUGAL,2828000,2190000,2018,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,1.398137138,11.95270181,317.9418681,0.004397462,15.94202899
28302282,99,546,PORTUGAL,2830000,2282000,2018,Rocks and stones,Rocks and stones,Bare land and lichens/moss,Other,0.345713294,15.89320838,422.7593428,0.000817754,4.507789195
28522106,74,408,PORTUGAL,2852000,2106000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,2.717001056,24.89123548,662.1068638,0.004103569,21.54101077
28542018,114,625,PORTUGAL,2854000,2018000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.828205555,4.969233328,132.1816065,0.006265664,0.248838752
29281840,63,340,SPAIN,2928000,1840000,2018,Oats,Cereals,Cropland,Agriculture,0,11.65359254,309.9855616,0,2.849569251
29302338,25,139,SPAIN,2930000,2338000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.503568962,19.11121345,508.3582777,0.004924812,28.69807913
29461660,10,44,SPAIN,2946000,1660000,2018,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,3.644265233,41.15292712,1094.667861,0.003329106,26.25144556
29542352,110,607,SPAIN,2954000,2352000,2018,Shrubland without tree cover,Shrubland without tree cover,Shrubland,Other,4.788461538,30.02809975,798.7474535,0.005994963,37.46293245
30061684,62,338,SPAIN,3006000,1684000,2018,Oats,Cereals,Cropland,Agriculture,0.170857227,19.52654021,519.4059697,0.000328947,3.257467994
30562338,23,127,SPAIN,3056000,2338000,2018,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,1.04534005,6.540076213,173.9660273,0.006008875,14.02632017
30902056,122,647,SPAIN,3090000,2056000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.929851775,16.68964725,443.9446168,0.002094522,3.701244813
30922224,76,413,SPAIN,3092000,2224000,2018,Barley,Cereals,Cropland,Agriculture,0.859375,12.65625,336.65625,0.002552678,11.33366717
31122070,56,301,SPAIN,3112000,2070000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.803617099,6.823164048,181.4961637,0.004427736,9.235615984
31162082,57,307,SPAIN,3116000,2082000,2018,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,1.458771353,4.180902322,111.2120018,0.013117032,13.16502639
31162316,54,287,SPAIN,3116000,2316000,2018,Other Artificial Areas,Other artificial areas,Artificial Land,Other,0.858464888,8.634851509,229.6870501,0.003737542,9.596456693
31222070,130,706,SPAIN,3122000,2070000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.542203885,15.83806086,421.2924188,0.001287001,3.628230616
31322314,22,114,SPAIN,3132000,2314000,2018,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,0.51207474,32.77278336,871.7560374,0.000587406,5.92039801
31441666,115,627,SPAIN,3144000,1666000,2018,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.593361702,8.900425532,236.7513191,0.002506266,2.618929223
31542332,7,33,SPAIN,3154000,2332000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,3.046626984,17.07208995,454.1175926,0.006708894,28.57142857
31721688,35,174,SPAIN,3172000,1688000,2018,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,1.392067877,23.52867666,625.8627993,0.002224238,16.6858458
31722110,127,688,SPAIN,3172000,2110000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.500088605,32.50575935,864.6531987,0.000578369,6.262458472
31783686,148,832,IRELAND,3178000,3686000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.826022853,6.322644059,168.182332,0.004911472,10.12092099
32201782,113,624,SPAIN,3220000,1782000,2018,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,1.957699805,28.69135802,763.1901235,0.002565153,14.91126223
32281848,106,579,SPAIN,3228000,1848000,2018,Common wheat,Cereals,Cropland,Agriculture,0.251727043,10.48862679,278.9974726,0.000902256,1.28077179
32402336,36,183,SPAIN,3240000,2336000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,2.149893843,12.62915782,335.935598,0.00639972,22.50740375
32522074,124,672,SPAIN,3252000,2074000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.281546811,14.07734057,374.4572592,0.00075188,2.38410596
33062044,95,516,SPAIN,3306000,2044000,2018,Other coniferous woodland,Coniferous woodland,Woodland,Forest,0.618085106,11.38061466,302.7243499,0.002041742,6.421105027
33162080,55,292,SPAIN,3316000,2080000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.454558911,9.214031972,245.0932504,0.001854637,3.870233352
33241828,59,322,SPAIN,3324000,1828000,2018,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,0.61405672,10.72162527,285.1952322,0.00215311,6.118736564
33343208,146,813,UK,3334000,3208000,2018,Other root crops,Root crops,Cropland,Agriculture,0.887403943,5.268960909,140.1543602,0.006331619,15.33239038
33363162,65,353,UK,3336000,3162000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,3.757279345,22.71989688,604.3492569,0.006217066,26.90389092
33502280,81,442,SPAIN,3350000,2280000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,4.836220472,33.42407199,889.080315,0.005439577,26.49247561
33863294,39,196,UK,3386000,3294000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,9.239524703,45.07296227,1198.940796,0.007706406,46.40522876
