LUCAS_ID,X_LAEA,Y_LAEA,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW
52404680,5240000,4680000,Pine dominated mixed woodland,Mixed woodland,Woodland,Forest,17.40193237,56.93719807,1514.529469,0.011489993,85.24379812
48623348,4862000,3348000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,5.794661191,26.92813142,716.2882957,0.008089845,59.69877524
34182178,3418000,2178000,Other bare soil,Other bare soil,Bare land and lichens/moss,Other,1.043138587,7.941009964,211.230865,0.004938381,16.37551484
52863656,5286000,3656000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.464011181,4.350104822,115.7127883,0.004010025,4.695304695
43882828,4388000,2828000,Barley,Cereals,Cropland,Agriculture,1.834943121,15.61780067,415.4334979,0.004416936,22.47920133
44263288,4426000,3288000,Common wheat,Cereals,Cropland,Agriculture,0.440506763,7.673343606,204.1109399,0.002158173,3.278688525
46902810,4690000,2810000,Triticale,Cereals,Cropland,Agriculture,0.496448598,13.0317757,346.6452336,0.001432152,11.01131071
36782680,3678000,2680000,Rape and turnip rape,Non-permanent industrial crops,Cropland,Agriculture,0.479595522,14.33790779,381.3883472,0.001257499,8.128732581
44322920,4432000,2920000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.137840376,29.09546166,773.9392801,0.001470193,11.61825726
44943870,4494000,3870000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.573427812,5.930321819,157.7465604,0.003635121,5.995004163
34002136,3400000,2136000,Maize,Cereals,Cropland,Agriculture,1.469026549,21.43690593,570.2216978,0.002576238,15.71357534
35282092,3528000,2092000,Other fruit trees and berries,Permanent crops: fruit trees,Cropland,Agriculture,0.865671642,6.71641791,178.6567164,0.004845447,8.173712021
44143298,4414000,3298000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,4.301193467,27.37123116,728.0747487,0.005907626,47.12720027
51483800,5148000,3800000,Common wheat,Cereals,Cropland,Agriculture,0.934812287,4.249146758,113.0273038,0.008270677,17.1497243
33902114,3390000,2114000,Durum wheat,Cereals,Cropland,Agriculture,0.469097539,2.774232756,73.79459131,0.006356801,9.801019569
51103486,5110000,3486000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.583641747,6.245990624,166.1433506,0.003512881,10.69244753
50083478,5008000,3478000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.893907732,3.869152869,102.9194663,0.008685507,11.7338252
42863582,4286000,3582000,Common wheat,Cereals,Cropland,Agriculture,0.800148313,7.180818193,191.0097639,0.004189044,10.94601288
33241858,3324000,1858000,Durum wheat,Cereals,Cropland,Agriculture,0.321309168,7.789313156,207.19573,0.001550752,5.613685434
43543126,4354000,3126000,Common wheat,Cereals,Cropland,Agriculture,0.971225782,13.16196688,350.1083189,0.002774072,13.27566129
53641966,5364000,1966000,Barley,Cereals,Cropland,Agriculture,0.437532947,6.125461255,162.9372694,0.002685285,6.181998022
48462300,4846000,2300000,Shrubland with sparse tree cover,Shrubland with sparse tree cover,Shrubland,Other,0.730304891,11.26594366,299.6741014,0.002436997,19.34312593
51764704,5176000,4704000,Spruce dominated mixed woodland,Mixed woodland,Woodland,Forest,1.328918759,6.89068986,183.2923503,0.007250269,16.46301189
44483636,4448000,3636000,Other non-permanent industrial crops,Non-permanent industrial crops,Cropland,Agriculture,0,4.27659699,113.7574799,0,5.478997177
45622768,4562000,2768000,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,1.369034528,7.605747379,202.3128803,0.006766917,35.09848701
46722576,4672000,2576000,Temporary grasslands,Fodder crops,Cropland,Agriculture,2.160767298,17.75367283,472.2476973,0.004575496,27.06528981
