Pair.ID,LUCAS_ID,X_LAEA,Y_LAEA,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW,Distance,PA
1,43942996,4394000,2996000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.770682148,28.22309766,750.7343977,0.003690629,20.20185308,84970.58314,TRUE
2,38742668,3874000,2668000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,2.856853614,29.29675373,779.2936492,0.003665953,18.49834983,10198.03903,TRUE
3,50702998,5070000,2998000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.802150974,14.03544372,373.342803,0.004827068,18.00332779,38209.94635,TRUE
4,29461660,2946000,1660000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,3.644265233,41.15292712,1094.667861,0.003329106,26.25144556,214895.3234,TRUE
5,36462652,3646000,2652000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.045137544,8.89706832,236.6620173,0.004416161,15.1823858,112445.5424,TRUE
6,29302338,2930000,2338000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.503568962,19.11121345,508.3582777,0.004924812,28.69807913,84876.3807,TRUE
7,30562338,3056000,2338000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,1.04534005,6.540076213,173.9660273,0.006008875,14.02632017,67675.69726,TRUE
8,31322314,3132000,2314000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,0.51207474,32.77278336,871.7560374,0.000587406,5.92039801,65145.9899,TRUE
9,42401958,4240000,1958000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,0.263492063,10.07741576,268.0592593,0.000982962,0.828500414,178044.9381,TRUE
10,33241828,3324000,1828000,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,0.61405672,10.72162527,285.1952322,0.00215311,6.118736564,65969.69001,TRUE
11,51443008,5144000,3008000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.189066918,13.87244738,369.0071002,0.003222342,12.53091509,80000,TRUE
12,51722996,5172000,2996000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.473971453,35.8900084,954.6742233,0.00259143,21.72198488,55713.55311,TRUE
13,46942572,4694000,2572000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,5.321254355,54.75493612,1456.481301,0.0036535,28.78411911,62289.64601,TRUE
14,50943268,5094000,3268000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.665648272,9.350773344,248.7305709,0.002676182,12.81837856,62513.99843,TRUE
15,48942888,4894000,2888000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.162376987,15.96959374,424.7911935,0.002736349,12.58891646,122588.7434,TRUE
16,40383202,4038000,3202000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,0.859088433,9.243992494,245.8902004,0.003493789,8.688443044,41617.30409,TRUE
17,42583038,4258000,3038000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.682776981,13.59819783,361.7120623,0.004652256,18.61666667,40249.2236,TRUE
18,42683042,4268000,3042000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.41489118,26.87437953,714.8584956,0.003378139,27.68389662,48083.26112,TRUE
19,43283052,4328000,3052000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,3.353003384,31.9500846,849.8722504,0.003945303,32.45714286,106075.4448,TRUE
20,43022764,4302000,2764000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.969776876,21.94252874,583.6712644,0.003374805,18.36396754,50990.19514,TRUE
21,31721688,3172000,1688000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,1.392067877,23.52867666,625.8627993,0.002224238,16.6858458,76550.63684,TRUE
22,45123304,4512000,3304000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,3.700966635,16.90884523,449.7752832,0.008228479,46.63005492,164596.4763,TRUE
23,47903032,4790000,3032000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.804778973,19.50219036,518.7582636,0.003479037,31.16776316,112160.5991,TRUE
