FID	FID_1	LUCAS_ID	FID_	CONTAINER_	Country	X_LAEA	Y_LAEA	Year	LC	Specific	Broad	Ours	Bas	MIRR	Cmic	qO2	H2O_FW	FID_2	LUCAS_ID_1	X_LAEA_1	Y_LAEA_1	LC_1	Specific_1	Broad_1	Ours_1	Bas_1	MIRR_1	Cmic_1	qO2_1	H2O_FW_1	Distance
0	44	35402092	132	741	SPAIN	3540000	2092000	2018	Olive groves	Other permanent crops	Cropland	Agriculture	0.461031071	18.00902621	479.0400972	0.000962406	4.413472706	11	35282092	3528000	2092000	Other fruit trees and berries	Permanent crops: fruit trees	Cropland	Agriculture	0.865671642	6.71641791	178.6567164	0.004845447	8.173712021	12000
1	137	53861912	18	93	GREECE	5386000	1912000	2018	Durum wheat	Cereals	Cropland	Agriculture	0.627815025	9.559910607	254.2936221	0.002468859	17.58288467	20	53641966	5364000	1966000	Barley	Cereals	Cropland	Agriculture	0.437532947	6.125461255	162.9372694	0.002685285	6.181998022	58309.51895
2	46	35702100	51	276	SPAIN	3570000	2100000	2018	Barley	Cereals	Cropland	Agriculture	0	19.56610864	520.4584899	0	2.886529529	33	35642110	3564000	2110000	Pear fruit	Permanent crops: fruit trees	Cropland	Agriculture	1.031444172	11.09583883	295.1493127	0.003494652	12.09864283	11661.90379
3	49	36722782	145	807	FRANCE	3672000	2782000	2018	Rape and turnip rape	Non-permanent industrial crops	Cropland	Agriculture	0.652026424	10.62012736	282.4953877	0.002308096	7.482656095	42	36442800	3644000	2800000	Durum wheat	Cereals	Cropland	Agriculture	1.234659725	11.72926739	311.9985125	0.003957262	10.38160307	33286.63395
4	75	40783066	79	428	GERMANY	4078000	3066000	2018	Dry pulses	"Dry pulses, vegetables, and flowers"	Cropland	Agriculture	0.43147448	15.82073094	420.831443	0.00102529	9.662729472	125	41823036	4182000	3036000	Common wheat	Cereals	Cropland	Agriculture	0.554177795	15.09474755	401.5202849	0.001380199	13.05357439	108240.473
5	77	40903100	85	455	GERMANY	4090000	3100000	2018	Common wheat	Cereals	Cropland	Agriculture	0.260460251	7.765574152	206.5642724	0.001260916	4.985920159	125	41823036	4182000	3036000	Common wheat	Cereals	Cropland	Agriculture	0.554177795	15.09474755	401.5202849	0.001380199	13.05357439	112071.4058
6	88	42462906	34	172	GERMANY	4246000	2906000	2018	Triticale	Cereals	Cropland	Agriculture	0.647081194	7.470368258	198.7117957	0.00325638	11.70248489	129	43162914	4316000	2914000	Common wheat	Cereals	Cropland	Agriculture	0.85461285	7.292696321	193.9857221	0.004405545	19.2550715	70455.65982
7	69	39822308	64	350	FRANCE	3982000	2308000	2018	Rape and turnip rape	Non-permanent industrial crops	Cropland	Agriculture	0.668969488	10.83093456	288.1028593	0.002321981	13.06306306	160	38562344	3856000	2344000	Vineyards	Other permanent crops	Cropland	Agriculture	1.090747647	9.138696502	243.0893269	0.004487024	19.82058949	131041.978
8	97	45502846	14	65	GERMANY	4550000	2846000	2018	Common wheat	Cereals	Cropland	Agriculture	1.271737124	10.7765676	286.656698	0.004436447	10.71369705	163	46342786	4634000	2786000	Maize	Cereals	Cropland	Agriculture	0.930749557	6.041707653	160.7094236	0.005791506	14.9715624	103227.9032
9	130	52283958	93	488	LATVIA	5228000	3958000	2018	Other leguminous and mixtures for fodder	Fodder crops	Cropland	Agriculture	0.200448508	7.15887528	190.4260825	0.001052632	4.49752883	188	52224014	5222000	4014000	Barley	Cereals	Cropland	Agriculture	0.940029707	9.400297066	250.047902	0.003759398	10.39760439	56320.51136
