FID	FID_1	LUCAS_ID	FID_	CONTAINER_	Country	X_LAEA	Y_LAEA	Year	LC	Specific	Broad	Ours	Bas	MIRR	Cmic	qO2	H2O_FW	FID_2	LUCAS_ID_1	X_LAEA_1	Y_LAEA_1	LC_1	Specific_1	Broad_1	Ours_1	Bas_1	MIRR_1	Cmic_1	qO2_1	H2O_FW_1	Distance
0	117	49803394	3	22	POLAND	4980000	3394000	2018	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	0.478629579	5.677860697	151.0310945	0.00316908	2.593755163	16	50083478	5008000	3478000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.893907732	3.869152869	102.9194663	0.008685507	11.7338252	88543.77448
1	123	51083476	42	231	POLAND	5108000	3476000	2018	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	0.701811907	3.103249928	82.54644809	0.008502024	3.368350842	16	50083478	5008000	3478000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.893907732	3.869152869	102.9194663	0.008685507	11.7338252	100019.998
2	124	51363400	82	443	POLAND	5136000	3400000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.222954634	6.651156779	176.9207703	0.006912442	14.40424826	16	50083478	5008000	3478000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.893907732	3.869152869	102.9194663	0.008685507	11.7338252	149893.2954
3	28	33062044	95	516	SPAIN	3306000	2044000	2018	Other coniferous woodland	Coniferous woodland	Woodland	Forest	0.618085106	11.38061466	302.7243499	0.002041742	6.421105027	70	33581994	3358000	1994000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.360430464	10.03145695	266.836755	0.005098362	13.65260901	72138.75519
4	20	31542332	7	33	SPAIN	3154000	2332000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	3.046626984	17.07208995	454.1175926	0.006708894	28.57142857	113	32202298	3220000	2298000	Pine dominated mixed woodland	Mixed woodland	Woodland	Forest	1.605474453	9.693430657	257.8452555	0.006226504	9.331568498	74242.84477
5	26	32402336	36	183	SPAIN	3240000	2336000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	2.149893843	12.62915782	335.935598	0.00639972	22.50740375	113	32202298	3220000	2298000	Pine dominated mixed woodland	Mixed woodland	Woodland	Forest	1.605474453	9.693430657	257.8452555	0.006226504	9.331568498	42941.82111
6	64	39023026	78	419	FRANCE	3902000	3026000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.138322884	5.149555904	136.978187	0.008310249	14.03065521	121	40102842	4010000	2842000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.883007117	31.99881376	851.168446	0.002212261	25.26595745	213354.1657
7	71	40002866	27	142	FRANCE	4000000	2866000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	3.345522543	29.54636748	785.9333749	0.004256751	19.91680532	121	40102842	4010000	2842000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.883007117	31.99881376	851.168446	0.002212261	25.26595745	26000
8	116	49724396	21	107	FINLAND	4972000	4396000	2018	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	0.584908903	2.805660594	74.63057179	0.00783739	3.194675541	128	49704436	4970000	4436000	Other coniferous woodland	Coniferous woodland	Woodland	Forest	1.109465318	9.795279383	260.5544316	0.004258094	7.76407864	40049.96879
9	84	41902558	72	397	ITALY	4190000	2558000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.994279176	17.99071955	478.5531401	0.00416731	13.32231405	180	41102514	4110000	2514000	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	1.112903226	5.483870968	145.8709677	0.007629368	14.2476254	91301.69768
10	133	52584068	47	255	ESTONIA	5258000	4068000	2018	Spruce dominated mixed woodland	Mixed woodland	Woodland	Forest	0.952825112	13.84573991	368.2966816	0.002587113	7.606894266	196	52364076	5236000	4076000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.268222176	14.96730677	398.13036	0.003185445	19.67158733	23409.39982
11	100	46422690	101	552	AUSTRIA	4642000	2690000	2018	Spruce dominated coniferous woodland	Coniferous woodland	Woodland	Forest	13.37333736	59.54856913	1583.991939	0.008442806	44.94007989	215	46162668	4616000	2668000	Spruce dominated coniferous woodland	Coniferous woodland	Woodland	Forest	4.990790899	22.93066089	609.9555796	0.00818222	38.7423262	34058.77273
12	99	46282880	111	611	CZECH REPUBLIC	4628000	2880000	2018	Other coniferous woodland	Coniferous woodland	Woodland	Forest	0.485466147	7.551695616	200.8751034	0.002416756	5.998000666	244	46382836	4638000	2836000	Spruce dominated coniferous woodland	Coniferous woodland	Woodland	Forest	3.044657097	18.45915293	491.013468	0.006200761	37.53943218	45122.05669
13	56	37802362	116	628	FRANCE	3780000	2362000	2018	Pine dominated mixed woodland	Mixed woodland	Woodland	Forest	2.078597573	30.85917935	820.8541707	0.002532237	14.05629139	249	38282398	3828000	2398000	Spruce dominated coniferous woodland	Coniferous woodland	Woodland	Forest	2.633008501	16.00456148	425.7213353	0.006184817	19.54962469	60000
14	59	38022398	52	280	FRANCE	3802000	2398000	2018	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	1.894487511	20.43425208	543.5511054	0.00348539	22.72878536	249	38282398	3828000	2398000	Spruce dominated coniferous woodland	Coniferous woodland	Woodland	Forest	2.633008501	16.00456148	425.7213353	0.006184817	19.54962469	26000
15	76	40783218	12	52	NETHERLAND	4078000	3218000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.821156773	4.053145611	107.8136733	0.007616444	12.82136341	257	41243258	4124000	3258000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	2.47146402	8.2382134	219.1364764	0.011278195	46.31140716	60959.00262
16	81	41303178	88	464	GERMANY	4130000	3178000	2018	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	0.521337521	2.300018474	61.18049141	0.008521303	10.52892562	257	41243258	4124000	3258000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	2.47146402	8.2382134	219.1364764	0.011278195	46.31140716	80224.68448
17	22	31722110	127	688	SPAIN	3172000	2110000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.500088605	32.50575935	864.6531987	0.000578369	6.262458472	266	32122142	3212000	2142000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.70029347	11.57006603	307.7637564	0.002275425	9.928960846	51224.9939
18	70	39942574	66	354	FRANCE	3994000	2574000	2018	Other mixed woodland	Mixed woodland	Woodland	Forest	12.42932752	82.34537152	2190.386883	0.00567449	46.32352941	316	40262632	4026000	2632000	Other mixed woodland	Mixed woodland	Woodland	Forest	4.979570727	30.54995259	812.6287389	0.006127732	35.71072319	66241.98065
19	73	40262620	102	563	FRANCE	4026000	2620000	2018	Spruce dominated mixed woodland	Mixed woodland	Woodland	Forest	4.883453562	57.50375714	1529.59994	0.003192635	25.60791548	316	40262632	4026000	2632000	Other mixed woodland	Mixed woodland	Woodland	Forest	4.979570727	30.54995259	812.6287389	0.006127732	35.71072319	12000
20	78	40962778	97	520	FRANCE	4096000	2778000	2018	Spruce dominated mixed woodland	Mixed woodland	Woodland	Forest	1.402664933	7.283067923	193.7296068	0.007240323	12.33618234	348	40602702	4060000	2702000	Spruce dominated coniferous woodland	Coniferous woodland	Woodland	Forest	1.67222007	17.41895906	463.344311	0.003609023	14.59298478	84095.18417
21	17	31222070	130	706	SPAIN	3122000	2070000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.542203885	15.83806086	421.2924188	0.001287001	3.628230616	378	30182092	3018000	2092000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0	4.394502647	116.8937704	0	0.771294433	106301.4581
22	83	41883154	91	474	GERMANY	4188000	3154000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.88795045	6.646646647	176.8008008	0.005022321	11.49501661	404	42483154	4248000	3154000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.891632115	3.962809398	105.41073	0.008458647	11.84582157	60000
23	86	42183148	94	506	GERMANY	4218000	3148000	2018	Spruce dominated coniferous woodland	Coniferous woodland	Woodland	Forest	2.315527682	9.692906574	257.8313149	0.008980785	23.27857972	404	42483154	4248000	3154000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.891632115	3.962809398	105.41073	0.008458647	11.84582157	30594.11708
24	27	32522074	124	672	SPAIN	3252000	2074000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.281546811	14.07734057	374.4572592	0.00075188	2.38410596	431	32702146	3270000	2146000	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	2.29327018	17.41793303	463.3170186	0.004949678	15.6203164	74215.90126
25	29	33162080	55	292	SPAIN	3316000	2080000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.454558911	9.214031972	245.0932504	0.001854637	3.870233352	431	32702146	3270000	2146000	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	2.29327018	17.41793303	463.3170186	0.004949678	15.6203164	80448.74144
26	98	46163088	104	567	CZECH REPUBLIC	4616000	3088000	2018	Other coniferous woodland	Coniferous woodland	Woodland	Forest	0.81372549	2.288602941	60.87683824	0.01336675	19.24789708	437	47083048	4708000	3048000	Other mixed woodland	Mixed woodland	Woodland	Forest	0.34646098	16.16817907	430.0735632	0.000805585	8.502158751	100319.4896
27	110	48263042	44	242	CZECH REPUBLIC	4826000	3042000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	2.426786135	14.93908669	397.379706	0.00610697	29.34021993	437	47083048	4708000	3048000	Other mixed woodland	Mixed woodland	Woodland	Forest	0.34646098	16.16817907	430.0735632	0.000805585	8.502158751	118152.4439
28	19	31441666	115	627	SPAIN	3144000	1666000	2018	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	0.593361702	8.900425532	236.7513191	0.002506266	2.618929223	458	31141720	3114000	1720000	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	0.314054054	19.74054054	525.0983784	0.000598086	8.415841584	61773.78085
29	24	32201782	113	624	SPAIN	3220000	1782000	2018	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	1.957699805	28.69135802	763.1901235	0.002565153	14.91126223	458	31141720	3114000	1720000	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	0.314054054	19.74054054	525.0983784	0.000598086	8.415841584	122800.6515
30	33	33502280	81	442	SPAIN	3350000	2280000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	4.836220472	33.42407199	889.080315	0.005439577	26.49247561	478	32902338	3290000	2338000	Pine dominated mixed woodland	Mixed woodland	Woodland	Forest	2.119148936	10.06595745	267.7544681	0.007914523	21.7188541	83450.58418
31	104	47262412	1	14	CROATIA	4726000	2412000	2018	Other mixed woodland	Mixed woodland	Woodland	Forest	5.854292343	37.23124517	990.3511214	0.00591133	28.76033058	494	47942370	4794000	2370000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.018001978	22.82294758	607.0904055	0.001676854	16.29408843	79924.96481
32	54	37562340	103	564	FRANCE	3756000	2340000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.983186855	15.96357152	424.6310024	0.002315391	12.82478348	506	37202358	3720000	2358000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.914936616	12.85994243	342.0744687	0.002674671	10.28514917	40249.2236
33	142	54401670	71	387	GREECE	5440000	1670000	2018	Spruce dominated mixed woodland	Mixed woodland	Woodland	Forest	1.322767075	16.86164623	448.5197898	0.002949183	5.306799337	507	53381850	5338000	1850000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.461267606	34.47509129	917.0374283	0.001593466	15.30815109	206891.2758
34	152	56702146	125	677	GREECE	5670000	2146000	2018	Pine dominated mixed woodland	Mixed woodland	Woodland	Forest	0.575789109	5.613943809	149.3309053	0.003855793	4.788639366	517	56882134	5688000	2134000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.968078576	6.963372212	185.2257008	0.005226481	18.99552461	21633.30765
35	105	47282676	75	411	AUSTRIA	4728000	2676000	2018	Spruce dominated mixed woodland	Mixed woodland	Woodland	Forest	0.880917003	5.755324418	153.0916295	0.005754181	21.47024504	526	47502586	4750000	2586000	Spruce dominated mixed woodland	Mixed woodland	Woodland	Forest	2.274708675	6.447993095	171.5166163	0.013262322	22.72803068	92649.87858
36	107	47362636	117	630	AUSTRIA	4736000	2636000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.834166026	13.13156546	349.2996413	0.005250982	13.55481728	526	47502586	4750000	2586000	Spruce dominated mixed woodland	Mixed woodland	Woodland	Forest	2.274708675	6.447993095	171.5166163	0.013262322	22.72803068	51923.01994
37	108	47642728	48	270	AUSTRIA	4764000	2728000	2018	Spruce dominated coniferous woodland	Coniferous woodland	Woodland	Forest	4.450017295	23.92482417	636.4003228	0.006992481	52.59101345	526	47502586	4750000	2586000	Spruce dominated mixed woodland	Mixed woodland	Woodland	Forest	2.274708675	6.447993095	171.5166163	0.013262322	22.72803068	142688.4719
38	51	37342800	123	649	FRANCE	3734000	2800000	2018	Pine dominated mixed woodland	Mixed woodland	Woodland	Forest	0.784389219	3.340917046	88.86839342	0.008826414	5.004156276	542	38462664	3846000	2664000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.016387538	17.38819857	462.526082	0.002197471	7.66544729	176181.7244
39	4	28522106	74	408	PORTUGAL	2852000	2106000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	2.717001056	24.89123548	662.1068638	0.004103569	21.54101077	582	28102114	2810000	2114000	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	0.369015048	3.311673507	88.09051528	0.004189044	2.98606503	42755.11665
40	5	28542018	114	625	PORTUGAL	2854000	2018000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.828205555	4.969233328	132.1816065	0.006265664	0.248838752	582	28102114	2810000	2114000	Pine dominated coniferous woodland	Coniferous woodland	Woodland	Forest	0.369015048	3.311673507	88.09051528	0.004189044	2.98606503	105603.0303
41	151	56162386	134	743	BULGARIA	5616000	2386000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.908618276	30.15063654	802.0069319	0.002379803	15.89303734	588	56102380	5610000	2380000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.037690752	13.22547037	351.7975118	0.002949682	10.24752475	8485.281374
42	153	57122348	152	869	BULGARIA	5712000	2348000	2018	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	0.857842248	17.75883953	472.3851315	0.001815981	8.479920345	588	56102380	5610000	2380000	Broadleaved woodland	Broadleaved woodland	Woodland	Forest	1.037690752	13.22547037	351.7975118	0.002949682	10.24752475	106901.8241
43	114	48941830	83	446	ITALY	4894000	1830000	2018	Pine dominated mixed woodland	Mixed woodland	Woodland	Forest	1.886363636	21.7317916	578.0656566	0.003263234	17.48642869	605	52601984	5260000	1984000	Spruce dominated coniferous woodland	Coniferous woodland	Woodland	Forest	1.203781898	11.32672419	301.2908635	0.003995415	9.140950792	397079.3372
