FID	FID_1	LUCAS_ID	FID_	CONTAINER_	Country	X_LAEA	Y_LAEA	Year	LC	Specific	Broad	Ours	Bas	MIRR	Cmic	qO2	H2O_FW	FID_2	LUCAS_ID_1	X_LAEA_1	Y_LAEA_1	LC_1	Specific_1	Broad_1	Ours_1	Bas_1	MIRR_1	Cmic_1	qO2_1	H2O_FW_1	Distance
0	95	43942996	0	13	GERMANY	4394000	2996000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.770682148	28.22309766	750.7343977	0.003690629	20.20185308	8	44322920	4432000	2920000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.137840376	29.09546166	773.9392801	0.001470193	11.61825726	84970.58314
1	61	38742668	9	42	FRANCE	3874000	2668000	2018	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	2.856853614	29.29675373	779.2936492	0.003665953	18.49834983	26	38842666	3884000	2666000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.338957908	13.13307374	349.3397614	0.003832824	10.59350133	10198.03903
2	119	50702998	2	16	POLAND	5070000	2998000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.802150974	14.03544372	373.342803	0.004827068	18.00332779	35	50322994	5032000	2994000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.930303648	7.837103458	208.466952	0.004462595	18.70444003	38209.94635
3	8	29461660	10	44	SPAIN	2946000	1660000	2018	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	3.644265233	41.15292712	1094.667861	0.003329106	26.25144556	47	27781794	2778000	1794000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0	12.51022581	332.7720065	0	1.457677654	214895.3234
4	48	36462652	16	82	FRANCE	3646000	2652000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.045137544	8.89706832	236.6620173	0.004416161	15.1823858	48	37582662	3758000	2662000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.316299559	8.824082232	234.7205874	0.005607943	19.09039065	112445.5424
5	7	29302338	25	139	SPAIN	2930000	2338000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.503568962	19.11121345	508.3582777	0.004924812	28.69807913	55	30002386	3000000	2386000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	4.200891862	40.21999257	1069.851802	0.003926611	25.36195706	84876.3807
6	11	30562338	23	127	SPAIN	3056000	2338000	2018	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	1.04534005	6.540076213	173.9660273	0.006008875	14.02632017	65	31122376	3112000	2376000	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	6.940141932	28.1703178	749.3304536	0.009261791	46.14489864	67675.69726
7	18	31322314	22	114	SPAIN	3132000	2314000	2018	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	0.51207474	32.77278336	871.7560374	0.000587406	5.92039801	65	31122376	3112000	2376000	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	6.940141932	28.1703178	749.3304536	0.009261791	46.14489864	65145.9899
8	87	42401958	17	83	ITALY	4240000	1958000	2018	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	0.263492063	10.07741576	268.0592593	0.000982962	0.828500414	78	41941786	4194000	1786000	Spontaneously re-vegetated surfaces	Spontaneously re-vegetated surfaces	Grassland	Grassland	0.679117752	4.23218309	112.5760702	0.006032523	7.243029203	178044.9381
9	30	33241828	59	322	SPAIN	3324000	1828000	2018	Spontaneously re-vegetated surfaces	Spontaneously re-vegetated surfaces	Grassland	Grassland	0.61405672	10.72162527	285.1952322	0.00215311	6.118736564	80	33081892	3308000	1892000	Spontaneously re-vegetated surfaces	Spontaneously re-vegetated surfaces	Grassland	Grassland	0.47209385	13.4743453	358.417585	0.001317162	6.60690571	65969.69001
